[2025-04-28 02:22:21.178198]: name=x4pot | K=20 | status=noINFO | energy=0.0
[2025-04-28 02:22:22.967280]: name=x4pot | K=20 | status=noINFO | energy=0.03015075376884422
[2025-04-28 02:22:24.729966]: name=x4pot | K=20 | status=noINFO | energy=0.06030150753768844
[2025-04-28 02:22:48.597090]: name=x4pot | K=20 | status=noINFO | energy=0.21105527638190955
[2025-04-28 02:22:50.398678]: name=x4pot | K=20 | status=noINFO | energy=0.24120603015075376
[2025-04-28 02:22:52.193085]: name=x4pot | K=20 | status=noINFO | energy=0.271356783919598
[2025-04-28 02:22:53.956520]: name=x4pot | K=20 | status=noINFO | energy=0.3015075376884422
[2025-04-28 02:22:55.750094]: name=x4pot | K=20 | status=noINFO | energy=0.3316582914572864
[2025-04-28 02:22:57.541672]: name=x4pot | K=20 | status=noINFO | energy=0.36180904522613067
[2025-04-28 02:22:59.339223]: name=x4pot | K=20 | status=noINFO | energy=0.39195979899497485
[2025-04-28 02:23:01.113638]: name=x4pot | K=20 | status=noINFO | energy=0.4221105527638191
[2025-04-28 02:23:02.914491]: name=x4pot | K=20 | status=noINFO | energy=0.4522613065326633
[2025-04-28 02:23:04.691961]: name=x4pot | K=20 | status=noINFO | energy=0.4824120603015075
[2025-04-28 02:23:06.507214]: name=x4pot | K=20 | status=noINFO | energy=0.5125628140703518
[2025-04-28 02:23:08.435637]: name=x4pot | K=20 | status=noINFO | energy=0.542713567839196
[2025-04-28 02:23:52.336600]: name=x4pot | K=20 | status=noINFO | energy=0.8140703517587939
[2025-04-28 02:23:59.306897]: name=x4pot | K=20 | status=noINFO | energy=0.8743718592964824
[2025-04-28 02:26:34.248089]: name=x4pot | K=20 | status=noINFO | energy=1.7185929648241205
[2025-04-28 02:26:36.106996]: name=x4pot | K=20 | status=noINFO | energy=1.7487437185929648
[2025-04-28 02:26:37.878774]: name=x4pot | K=20 | status=noINFO | energy=1.778894472361809
[2025-04-28 02:26:39.620799]: name=x4pot | K=20 | status=noINFO | energy=1.809045226130653
[2025-04-28 02:26:41.444525]: name=x4pot | K=20 | status=noINFO | energy=1.8391959798994975
[2025-04-28 02:26:48.972782]: name=x4pot | K=20 | status=noINFO | energy=1.899497487437186
[2025-04-28 02:26:50.780697]: name=x4pot | K=20 | status=noINFO | energy=1.92964824120603
[2025-04-28 02:26:52.587678]: name=x4pot | K=20 | status=noINFO | energy=1.9597989949748742
[2025-04-28 02:26:54.357794]: name=x4pot | K=20 | status=noINFO | energy=1.9899497487437185
[2025-04-28 02:26:56.157986]: name=x4pot | K=20 | status=noINFO | energy=2.020100502512563
[2025-04-28 02:26:57.941347]: name=x4pot | K=20 | status=noINFO | energy=2.050251256281407
[2025-04-28 02:26:59.722880]: name=x4pot | K=20 | status=noINFO | energy=2.080402010050251
[2025-04-28 02:27:01.558482]: name=x4pot | K=20 | status=noINFO | energy=2.1105527638190953
[2025-04-28 02:35:53.284039]: name=x4pot | K=20 | status=noINFO | energy=4.613065326633166
[2025-04-28 02:35:55.194173]: name=x4pot | K=20 | status=noINFO | energy=4.64321608040201
[2025-04-28 02:35:57.052827]: name=x4pot | K=20 | status=noINFO | energy=4.673366834170854
[2025-04-28 02:35:58.922486]: name=x4pot | K=20 | status=noINFO | energy=4.703517587939698
[2025-04-28 02:36:00.809262]: name=x4pot | K=20 | status=noINFO | energy=4.733668341708542
[2025-04-28 02:36:02.675891]: name=x4pot | K=20 | status=noINFO | energy=4.763819095477387
[2025-04-28 02:36:04.527200]: name=x4pot | K=20 | status=noINFO | energy=4.793969849246231
[2025-04-28 02:36:06.356611]: name=x4pot | K=20 | status=noINFO | energy=4.824120603015075
[2025-04-28 02:36:08.289438]: name=x4pot | K=20 | status=noINFO | energy=4.8542713567839195
[2025-04-28 02:36:10.118305]: name=x4pot | K=20 | status=noINFO | energy=4.884422110552763
[2025-04-28 02:36:12.015065]: name=x4pot | K=20 | status=noINFO | energy=4.914572864321608
[2025-04-28 02:36:29.769837]: name=x4pot | K=20 | status=noINFO | energy=5.005025125628141
[2025-04-28 02:36:31.652213]: name=x4pot | K=20 | status=noINFO | energy=5.035175879396984
[2025-04-28 02:36:33.545326]: name=x4pot | K=20 | status=noINFO | energy=5.065326633165829
[2025-04-28 02:36:35.463294]: name=x4pot | K=20 | status=noINFO | energy=5.0954773869346734
[2025-04-28 02:36:37.338897]: name=x4pot | K=20 | status=noINFO | energy=5.125628140703517
[2025-04-28 02:36:39.193810]: name=x4pot | K=20 | status=noINFO | energy=5.155778894472362
[2025-04-28 02:36:41.184148]: name=x4pot | K=20 | status=noINFO | energy=5.185929648241205
[2025-04-28 02:36:43.017117]: name=x4pot | K=20 | status=noINFO | energy=5.21608040201005
[2025-04-28 02:36:44.904667]: name=x4pot | K=20 | status=noINFO | energy=5.2462311557788945
[2025-04-28 02:36:46.745185]: name=x4pot | K=20 | status=noINFO | energy=5.276381909547738
[2025-04-28 02:36:48.748858]: name=x4pot | K=20 | status=noINFO | energy=5.306532663316583
[2025-04-28 02:36:50.561743]: name=x4pot | K=20 | status=noINFO | energy=5.3366834170854265
[2025-04-28 02:36:52.373768]: name=x4pot | K=20 | status=noINFO | energy=5.366834170854271
[2025-04-28 02:36:54.208031]: name=x4pot | K=20 | status=noINFO | energy=5.396984924623116
[2025-04-28 02:36:56.062695]: name=x4pot | K=20 | status=noINFO | energy=5.427135678391959
[2025-04-28 02:36:57.928568]: name=x4pot | K=20 | status=noINFO | energy=5.457286432160804
[2025-04-28 02:36:59.776552]: name=x4pot | K=20 | status=noINFO | energy=5.487437185929648
[2025-04-28 02:37:01.634797]: name=x4pot | K=20 | status=noINFO | energy=5.517587939698492
[2025-04-28 02:37:03.507588]: name=x4pot | K=20 | status=noINFO | energy=5.547738693467337
[2025-04-28 02:37:05.357730]: name=x4pot | K=20 | status=noINFO | energy=5.57788944723618
[2025-04-28 02:37:07.163437]: name=x4pot | K=20 | status=noINFO | energy=5.608040201005025
[2025-04-28 02:37:08.999931]: name=x4pot | K=20 | status=noINFO | energy=5.638190954773869
[2025-04-28 02:37:10.850731]: name=x4pot | K=20 | status=noINFO | energy=5.668341708542713
[2025-04-28 02:37:12.697605]: name=x4pot | K=20 | status=noINFO | energy=5.698492462311558
[2025-04-28 02:37:14.549862]: name=x4pot | K=20 | status=noINFO | energy=5.7286432160804015
[2025-04-28 02:37:16.382461]: name=x4pot | K=20 | status=noINFO | energy=5.758793969849246
[2025-04-28 02:37:18.227512]: name=x4pot | K=20 | status=noINFO | energy=5.788944723618091
[2025-04-28 02:37:20.042950]: name=x4pot | K=20 | status=noINFO | energy=5.819095477386934
[2025-04-28 02:37:21.881530]: name=x4pot | K=20 | status=noINFO | energy=5.849246231155779
[2025-04-28 02:37:23.712592]: name=x4pot | K=20 | status=noINFO | energy=5.879396984924623
[2025-04-28 02:37:25.662095]: name=x4pot | K=20 | status=noINFO | energy=5.909547738693467
[2025-04-28 02:37:27.480106]: name=x4pot | K=20 | status=noINFO | energy=5.939698492462312
[2025-04-28 02:37:29.327857]: name=x4pot | K=20 | status=noINFO | energy=5.969849246231155
[2025-04-28 02:37:31.124139]: name=x4pot | K=20 | status=noINFO | energy=6.0
